Index	Date	Time	Readings (°F)	Type
1	9/29/2013	8:00:00 AM	33.7	
2	9/29/2013	8:35:00 AM	33.7	
3	9/29/2013	9:10:00 AM	34.1	
4	9/29/2013	9:45:00 AM	34.4	
5	9/29/2013	10:20:00 AM	35.2	
6	9/29/2013	10:55:00 AM	35.4	
7	9/29/2013	11:30:00 AM	35.3	
8	9/29/2013	12:05:00 PM	35.8	
9	9/29/2013	12:40:00 PM	36.6	
10	9/29/2013	1:15:00 PM	36.7	
11	9/29/2013	1:50:00 PM	36.9	
12	9/29/2013	2:25:00 PM	36.7	
13	9/29/2013	3:00:00 PM	36.6	
14	9/29/2013	3:35:00 PM	36.6	
15	9/29/2013	4:10:00 PM	36.7	
16	9/29/2013	4:45:00 PM	36.6	
17	9/29/2013	5:20:00 PM	36.8	
18	9/29/2013	5:55:00 PM	37.1	
19	9/29/2013	6:30:00 PM	36.6	
20	9/29/2013	7:05:00 PM	36.4	
21	9/29/2013	7:40:00 PM	36.2	
22	9/29/2013	8:15:00 PM	36.5	
23	9/29/2013	8:50:00 PM	36.3	
24	9/29/2013	9:25:00 PM	36	
25	9/29/2013	10:00:00 PM	35.8	
26	9/29/2013	10:35:00 PM	36	
27	9/29/2013	11:10:00 PM	35.7	
28	9/29/2013	11:45:00 PM	35.5	
29	9/30/2013	12:20:00 AM	35.4	
30	9/30/2013	12:55:00 AM	35.3	
31	9/30/2013	1:30:00 AM	35.4	
32	9/30/2013	2:05:00 AM	35.3	
33	9/30/2013	2:40:00 AM	35.3	
34	9/30/2013	3:15:00 AM	35.2	
35	9/30/2013	3:50:00 AM	35.1	
36	9/30/2013	4:25:00 AM	35.1	
37	9/30/2013	5:00:00 AM	35.2	
38	9/30/2013	5:35:00 AM	35.2	
39	9/30/2013	6:10:00 AM	35.1	
40	9/30/2013	6:45:00 AM	34.9	
41	9/30/2013	7:20:00 AM	34.9	
42	9/30/2013	7:55:00 AM	34.9	
43	9/30/2013	8:30:00 AM	34.8	
44	9/30/2013	9:05:00 AM	35.4	
45	9/30/2013	9:40:00 AM	35.9	
46	9/30/2013	10:15:00 AM	36.1	
47	9/30/2013	10:50:00 AM	36.2	
48	9/30/2013	11:25:00 AM	36.9	
49	9/30/2013	12:00:00 PM	36.9	
50	9/30/2013	12:35:00 PM	37.4	
51	9/30/2013	1:10:00 PM	37.5	
52	9/30/2013	1:45:00 PM	37.6	
53	9/30/2013	2:20:00 PM	38.2	
54	9/30/2013	2:55:00 PM	38.7	
55	9/30/2013	3:30:00 PM	38.8	
56	9/30/2013	4:05:00 PM	39.1	
57	9/30/2013	4:40:00 PM	38.7	
58	9/30/2013	5:15:00 PM	38.2	
59	9/30/2013	5:50:00 PM	37.9	
60	9/30/2013	6:25:00 PM	37.6	
61	9/30/2013	7:00:00 PM	37.5	
62	9/30/2013	7:35:00 PM	37.4	
63	9/30/2013	8:10:00 PM	37.4	
64	9/30/2013	8:45:00 PM	37.5	
65	9/30/2013	9:20:00 PM	37.4	
66	9/30/2013	9:55:00 PM	37.1	
67	9/30/2013	10:30:00 PM	37	
68	9/30/2013	11:05:00 PM	36.9	
69	9/30/2013	11:40:00 PM	36.9	
70	10/1/2013	12:15:00 AM	36.8	
71	10/1/2013	12:50:00 AM	37.1	
72	10/1/2013	1:25:00 AM	36.9	
73	10/1/2013	2:00:00 AM	36.9	
74	10/1/2013	2:35:00 AM	36.9	
75	10/1/2013	3:10:00 AM	36.6	
76	10/1/2013	3:45:00 AM	36.8	
77	10/1/2013	4:20:00 AM	36.5	
78	10/1/2013	4:55:00 AM	36.5	
79	10/1/2013	5:30:00 AM	36.4	
80	10/1/2013	6:05:00 AM	36.4	
81	10/1/2013	6:40:00 AM	36.1	
82	10/1/2013	7:15:00 AM	36.2	
83	10/1/2013	7:50:00 AM	36.1	
84	10/1/2013	8:25:00 AM	36	
85	10/1/2013	9:00:00 AM	35.9	
86	10/1/2013	9:35:00 AM	36	
87	10/1/2013	10:10:00 AM	36.2	
88	10/1/2013	10:45:00 AM	36.5	
89	10/1/2013	11:20:00 AM	37	
90	10/1/2013	11:55:00 AM	37.5	
91	10/1/2013	12:30:00 PM	37.9	
92	10/1/2013	1:05:00 PM	38.6	
93	10/1/2013	1:40:00 PM	38.6	
94	10/1/2013	2:15:00 PM	39.6	
95	10/1/2013	2:50:00 PM	39.1	
96	10/1/2013	3:25:00 PM	39.1	
97	10/1/2013	4:00:00 PM	40.2	
98	10/1/2013	4:35:00 PM	40.7	
99	10/1/2013	5:10:00 PM	40.1	
100	10/1/2013	5:45:00 PM	40.1	
101	10/1/2013	6:20:00 PM	39.6	
