Index	Date	Time	Readings (øF)	Type
122	10/2/2013	6:35:00 AM	35.2	
123	10/2/2013	7:10:00 AM	35.2	
124	10/2/2013	7:45:00 AM	35.1	
125	10/2/2013	8:20:00 AM	35	
126	10/2/2013	8:55:00 AM	35	
127	10/2/2013	9:30:00 AM	35.2	
128	10/2/2013	10:05:00 AM	35.3	
129	10/2/2013	10:40:00 AM	35.4	
130	10/2/2013	11:15:00 AM	35.5	
131	10/2/2013	11:50:00 AM	35.6	
132	10/2/2013	12:25:00 PM	35.7	
133	10/2/2013	1:00:00 PM	35.9	
134	10/2/2013	1:35:00 PM	36	
135	10/2/2013	2:10:00 PM	36.2	
136	10/2/2013	2:45:00 PM	36.3	
137	10/2/2013	3:20:00 PM	36.4	
138	10/2/2013	3:55:00 PM	36.4	
139	10/2/2013	4:30:00 PM	36.5	
140	10/2/2013	5:05:00 PM	36.5	
141	10/2/2013	5:40:00 PM	36.5	
142	10/2/2013	6:15:00 PM	36.4	
143	10/2/2013	6:50:00 PM	36.3	
144	10/2/2013	7:25:00 PM	36.2	
145	10/2/2013	8:00:00 PM	36.1	
146	10/2/2013	8:35:00 PM	35.9	
147	10/2/2013	9:10:00 PM	35.7	
148	10/2/2013	9:45:00 PM	35.5	
149	10/2/2013	10:20:00 PM	35.4	
150	10/2/2013	10:55:00 PM	35.2	
151	10/2/2013	11:30:00 PM	35	
152	10/3/2013	12:05:00 AM	34.9	
153	10/3/2013	12:40:00 AM	34.7	
154	10/3/2013	1:15:00 AM	34.6	
155	10/3/2013	1:50:00 AM	34.4	
156	10/3/2013	2:25:00 AM	34.3	
157	10/3/2013	3:00:00 AM	34.1	
158	10/3/2013	3:35:00 AM	34	
159	10/3/2013	4:10:00 AM	34	
160	10/3/2013	4:45:00 AM	33.8	
161	10/3/2013	5:20:00 AM	33.7	
162	10/3/2013	5:55:00 AM	33.5	
163	10/3/2013	6:30:00 AM	33.3	
164	10/3/2013	7:05:00 AM	33.2	
165	10/3/2013	7:40:00 AM	33	
166	10/3/2013	8:15:00 AM	32.9	
167	10/3/2013	8:50:00 AM	32.9	
168	10/3/2013	9:25:00 AM	33	
169	10/3/2013	10:00:00 AM	33.1	
170	10/3/2013	10:35:00 AM	33.2	
171	10/3/2013	11:10:00 AM	33.3	
172	10/3/2013	11:45:00 AM	33.5	
173	10/3/2013	12:20:00 PM	33.7	
174	10/3/2013	12:55:00 PM	33.9	
175	10/3/2013	1:30:00 PM	33.9	
176	10/3/2013	2:05:00 PM	33.9	
177	10/3/2013	2:40:00 PM	33.9	
178	10/3/2013	3:15:00 PM	33.9	
179	10/3/2013	3:50:00 PM	33.9	
180	10/3/2013	4:25:00 PM	33.9	
181	10/3/2013	5:00:00 PM	33.9	
182	10/3/2013	5:35:00 PM	33.8	
183	10/3/2013	6:10:00 PM	33.7	
184	10/3/2013	6:45:00 PM	33.7	
185	10/3/2013	7:20:00 PM	33.7	
186	10/3/2013	7:55:00 PM	33.7	
187	10/3/2013	8:30:00 PM	33.5	
188	10/3/2013	9:05:00 PM	33.5	
189	10/3/2013	9:40:00 PM	33.4	
190	10/3/2013	10:15:00 PM	33.3	
191	10/3/2013	10:50:00 PM	33.2	
192	10/3/2013	11:25:00 PM	33	
193	10/4/2013	12:00:00 AM	33.1	
194	10/4/2013	12:35:00 AM	32.9	
195	10/4/2013	1:10:00 AM	32.9	
196	10/4/2013	1:45:00 AM	32.8	
197	10/4/2013	2:20:00 AM	32.7	
198	10/4/2013	2:55:00 AM	32.7	
199	10/4/2013	3:30:00 AM	32.5	
200	10/4/2013	4:05:00 AM	32.5	
201	10/4/2013	4:40:00 AM	32.4	
202	10/4/2013	5:15:00 AM	32.3	
203	10/4/2013	5:50:00 AM	32.3	
204	10/4/2013	6:25:00 AM	32.3	
205	10/4/2013	7:00:00 AM	32.1	
206	10/4/2013	7:35:00 AM	32.1	
207	10/4/2013	8:10:00 AM	32	
208	10/4/2013	8:45:00 AM	31.9	
209	10/4/2013	9:20:00 AM	32	
210	10/4/2013	9:55:00 AM	31.9	
211	10/4/2013	10:30:00 AM	32	
212	10/4/2013	11:05:00 AM	32	
213	10/4/2013	11:40:00 AM	32	
214	10/4/2013	12:15:00 PM	32	
215	10/4/2013	12:50:00 PM	32	
216	10/4/2013	1:25:00 PM	32	
217	10/4/2013	2:00:00 PM	32.1	
218	10/4/2013	2:35:00 PM	32.1	
219	10/4/2013	3:10:00 PM	32	
220	10/4/2013	3:45:00 PM	32.1	
221	10/4/2013	4:20:00 PM	32.1	
222	10/4/2013	4:55:00 PM	32.2	
223	10/4/2013	5:30:00 PM	32.2	
224	10/4/2013	6:05:00 PM	32.2	
225	10/4/2013	6:40:00 PM	32.2	
226	10/4/2013	7:15:00 PM	32.2	
227	10/4/2013	7:50:00 PM	32.2	
228	10/4/2013	8:25:00 PM	32.2	
229	10/4/2013	9:00:00 PM	32.2	
230	10/4/2013	9:35:00 PM	32.2	
