Index	Date	Time	Readings (°F)	Type
1	9/29/2013	8:00:00 AM	34.5	
2	9/29/2013	8:35:00 AM	34.6	
3	9/29/2013	9:10:00 AM	34.8	
4	9/29/2013	9:45:00 AM	35.4	
5	9/29/2013	10:20:00 AM	42.7	
6	9/29/2013	10:55:00 AM	39.2	
7	9/29/2013	11:30:00 AM	38.8	
8	9/29/2013	12:05:00 PM	39.1	
9	9/29/2013	12:40:00 PM	39.3	
10	9/29/2013	1:15:00 PM	39	
11	9/29/2013	1:50:00 PM	39	
12	9/29/2013	2:25:00 PM	39.9	
13	9/29/2013	3:00:00 PM	40.2	
14	9/29/2013	3:35:00 PM	40.2	
15	9/29/2013	4:10:00 PM	39.9	
16	9/29/2013	4:45:00 PM	39.8	
17	9/29/2013	5:20:00 PM	39.8	
18	9/29/2013	5:55:00 PM	39.8	
19	9/29/2013	6:30:00 PM	39.3	
20	9/29/2013	7:05:00 PM	38.7	
21	9/29/2013	7:40:00 PM	38.3	
22	9/29/2013	8:15:00 PM	38	
23	9/29/2013	8:50:00 PM	37.6	
24	9/29/2013	9:25:00 PM	37.2	
25	9/29/2013	10:00:00 PM	36.9	
26	9/29/2013	10:35:00 PM	36.6	
27	9/29/2013	11:10:00 PM	36.2	
28	9/29/2013	11:45:00 PM	35.9	
29	9/30/2013	12:20:00 AM	35.6	
30	9/30/2013	12:55:00 AM	35.4	
31	9/30/2013	1:30:00 AM	35.2	
32	9/30/2013	2:05:00 AM	35	
33	9/30/2013	2:40:00 AM	34.9	
34	9/30/2013	3:15:00 AM	34.7	
35	9/30/2013	3:50:00 AM	34.3	
36	9/30/2013	4:25:00 AM	34.2	
37	9/30/2013	5:00:00 AM	34.3	
38	9/30/2013	5:35:00 AM	34.4	
39	9/30/2013	6:10:00 AM	34.3	
40	9/30/2013	6:45:00 AM	33.9	
41	9/30/2013	7:20:00 AM	34.1	
42	9/30/2013	7:55:00 AM	34.6	
43	9/30/2013	8:30:00 AM	35.5	
44	9/30/2013	9:05:00 AM	37.3	
45	9/30/2013	9:40:00 AM	38.5	
46	9/30/2013	10:15:00 AM	41.7	
47	9/30/2013	10:50:00 AM	39.9	
48	9/30/2013	11:25:00 AM	39.7	
49	9/30/2013	12:00:00 PM	40.6	
50	9/30/2013	12:35:00 PM	40.7	
51	9/30/2013	1:10:00 PM	41.2	
52	9/30/2013	1:45:00 PM	41.4	
53	9/30/2013	2:20:00 PM	41.7	
54	9/30/2013	2:55:00 PM	41.8	
55	9/30/2013	3:30:00 PM	41.5	
56	9/30/2013	4:05:00 PM	41.2	
57	9/30/2013	4:40:00 PM	41.2	
58	9/30/2013	5:15:00 PM	41	
59	9/30/2013	5:50:00 PM	40.6	
60	9/30/2013	6:25:00 PM	40.2	
61	9/30/2013	7:00:00 PM	40	
62	9/30/2013	7:35:00 PM	39.7	
63	9/30/2013	8:10:00 PM	39.5	
64	9/30/2013	8:45:00 PM	39.5	
65	9/30/2013	9:20:00 PM	39.1	
66	9/30/2013	9:55:00 PM	38.7	
67	9/30/2013	10:30:00 PM	38.5	
68	9/30/2013	11:05:00 PM	38.2	
69	9/30/2013	11:40:00 PM	38	
70	10/1/2013	12:15:00 AM	37.8	
71	10/1/2013	12:50:00 AM	37.8	
72	10/1/2013	1:25:00 AM	37.5	
73	10/1/2013	2:00:00 AM	37.2	
74	10/1/2013	2:35:00 AM	37	
75	10/1/2013	3:10:00 AM	36.9	
76	10/1/2013	3:45:00 AM	36.7	
77	10/1/2013	4:20:00 AM	36.5	
78	10/1/2013	4:55:00 AM	36.4	
79	10/1/2013	5:30:00 AM	36.4	
80	10/1/2013	6:05:00 AM	36.3	
81	10/1/2013	6:40:00 AM	36.2	
82	10/1/2013	7:15:00 AM	36.3	
83	10/1/2013	7:50:00 AM	36.7	
84	10/1/2013	8:25:00 AM	37.4	
85	10/1/2013	9:00:00 AM	38.4	
86	10/1/2013	9:35:00 AM	40.5	
87	10/1/2013	10:10:00 AM	50.6	
88	10/1/2013	10:45:00 AM	46	
89	10/1/2013	11:20:00 AM	43.8	
90	10/1/2013	11:55:00 AM	43.6	
91	10/1/2013	12:30:00 PM	43.6	
92	10/1/2013	1:05:00 PM	43.5	
93	10/1/2013	1:40:00 PM	43.9	
94	10/1/2013	2:15:00 PM	44.2	
95	10/1/2013	2:50:00 PM	44.4	
96	10/1/2013	3:25:00 PM	44.5	
97	10/1/2013	4:00:00 PM	44.5	
98	10/1/2013	4:35:00 PM	44.2	
99	10/1/2013	5:10:00 PM	44	
100	10/1/2013	5:45:00 PM	43.7	
101	10/1/2013	6:20:00 PM	43	
102	10/1/2013	6:55:00 PM	42.8	
103	10/1/2013	7:30:00 PM	42.2	
104	10/1/2013	8:05:00 PM	42	
105	10/1/2013	8:40:00 PM	41.8	
106	10/1/2013	9:15:00 PM	41.4	
107	10/1/2013	9:50:00 PM	41	
108	10/1/2013	10:25:00 PM	40.7	
109	10/1/2013	11:00:00 PM	40.5	
110	10/1/2013	11:35:00 PM	40.2	
111	10/2/2013	12:10:00 AM	39.9	
112	10/2/2013	12:45:00 AM	39.7	
113	10/2/2013	1:20:00 AM	39.4	
114	10/2/2013	1:55:00 AM	39.1	
115	10/2/2013	2:30:00 AM	38.8	
116	10/2/2013	3:05:00 AM	38.5	
117	10/2/2013	3:40:00 AM	38.1	
118	10/2/2013	4:15:00 AM	37.9	
119	10/2/2013	4:50:00 AM	37.5	
120	10/2/2013	5:25:00 AM	37.2	
121	10/2/2013	6:00:00 AM	36.9	
