Index	Date	Time	Readings (°F)	Type
1	9/15/2013	12:18:00 PM	69.4	
2	9/15/2013	12:53:00 PM	53.4	
3	9/15/2013	1:28:00 PM	52.6	
4	9/15/2013	2:03:00 PM	52.7	
5	9/15/2013	2:38:00 PM	52.8	
6	9/15/2013	3:13:00 PM	52.9	
7	9/15/2013	3:48:00 PM	53	
8	9/15/2013	4:23:00 PM	52.7	
9	9/15/2013	4:58:00 PM	52.5	
10	9/15/2013	5:33:00 PM	52.3	
11	9/15/2013	6:08:00 PM	52.1	
12	9/15/2013	6:43:00 PM	51.9	
13	9/15/2013	7:18:00 PM	51.6	
14	9/15/2013	7:53:00 PM	51.4	
15	9/15/2013	8:28:00 PM	51.1	
16	9/15/2013	9:03:00 PM	50.9	
17	9/15/2013	9:38:00 PM	50.8	
18	9/15/2013	10:13:00 PM	50.7	
19	9/15/2013	10:48:00 PM	50.5	
20	9/15/2013	11:23:00 PM	50.5	
21	9/15/2013	11:58:00 PM	50.3	
22	9/16/2013	12:33:00 AM	50.2	
23	9/16/2013	1:08:00 AM	50.2	
24	9/16/2013	1:43:00 AM	50	
25	9/16/2013	2:18:00 AM	49.8	
26	9/16/2013	2:53:00 AM	49.7	
27	9/16/2013	3:28:00 AM	49.6	
28	9/16/2013	4:03:00 AM	49.5	
29	9/16/2013	4:38:00 AM	49.3	
30	9/16/2013	5:13:00 AM	49.2	
31	9/16/2013	5:48:00 AM	49.1	
32	9/16/2013	6:23:00 AM	48.9	
33	9/16/2013	6:58:00 AM	48.8	
34	9/16/2013	7:33:00 AM	48.6	
35	9/16/2013	8:08:00 AM	48.8	
36	9/16/2013	8:43:00 AM	49	
37	9/16/2013	9:18:00 AM	49.4	
38	9/16/2013	9:53:00 AM	49.7	
39	9/16/2013	10:28:00 AM	50	
40	9/16/2013	11:03:00 AM	50.4	
41	9/16/2013	11:38:00 AM	50.8	
42	9/16/2013	12:13:00 PM	51.1	
43	9/16/2013	12:48:00 PM	51.4	
44	9/16/2013	1:23:00 PM	51.7	
45	9/16/2013	1:58:00 PM	51.8	
46	9/16/2013	2:33:00 PM	51.8	
47	9/16/2013	3:08:00 PM	52.3	
48	9/16/2013	3:43:00 PM	52.9	
49	9/16/2013	4:18:00 PM	52.5	
50	9/16/2013	4:53:00 PM	52.1	
51	9/16/2013	5:28:00 PM	52.1	
52	9/16/2013	6:03:00 PM	51.8	
53	9/16/2013	6:38:00 PM	51.5	
54	9/16/2013	7:13:00 PM	51.2	
55	9/16/2013	7:48:00 PM	51	
56	9/16/2013	8:23:00 PM	51	
57	9/16/2013	8:58:00 PM	50.8	
58	9/16/2013	9:33:00 PM	50.6	
59	9/16/2013	10:08:00 PM	50.5	
60	9/16/2013	10:43:00 PM	50.3	
61	9/16/2013	11:18:00 PM	50.3	
62	9/16/2013	11:53:00 PM	50.4	
63	9/17/2013	12:28:00 AM	49.9	
64	9/17/2013	1:03:00 AM	49.7	
65	9/17/2013	1:38:00 AM	49.4	
66	9/17/2013	2:13:00 AM	49.4	
67	9/17/2013	2:48:00 AM	49.3	
68	9/17/2013	3:23:00 AM	49.2	
69	9/17/2013	3:58:00 AM	49	
70	9/17/2013	4:33:00 AM	48.6	
71	9/17/2013	5:08:00 AM	48.5	
72	9/17/2013	5:43:00 AM	48.5	
73	9/17/2013	6:18:00 AM	48.5	
74	9/17/2013	6:53:00 AM	47.8	
75	9/17/2013	7:28:00 AM	47.9	
76	9/17/2013	8:03:00 AM	48	
77	9/17/2013	8:38:00 AM	48.1	
78	9/17/2013	9:13:00 AM	48.1	
79	9/17/2013	9:48:00 AM	48.3	
80	9/17/2013	10:23:00 AM	48.5	
81	9/17/2013	10:58:00 AM	48.7	
82	9/17/2013	11:33:00 AM	48.9	
83	9/17/2013	12:08:00 PM	49.1	
84	9/17/2013	12:43:00 PM	49.4	
85	9/17/2013	1:18:00 PM	49.3	
86	9/17/2013	1:53:00 PM	49.5	
87	9/17/2013	2:28:00 PM	49.6	
88	9/17/2013	3:03:00 PM	49.6	
89	9/17/2013	3:38:00 PM	49.6	
90	9/17/2013	4:13:00 PM	49.2	
91	9/17/2013	4:48:00 PM	48.8	
92	9/17/2013	5:23:00 PM	48.4	
93	9/17/2013	5:58:00 PM	48	
94	9/17/2013	6:33:00 PM	47.6	
95	9/17/2013	7:08:00 PM	47.4	
96	9/17/2013	7:43:00 PM	47.1	
97	9/17/2013	8:18:00 PM	47	
98	9/17/2013	8:53:00 PM	47	
99	9/17/2013	9:28:00 PM	47.1	
100	9/17/2013	10:03:00 PM	47	
101	9/17/2013	10:38:00 PM	46.9	
102	9/17/2013	11:13:00 PM	46.7	
103	9/17/2013	11:48:00 PM	46.6	
104	9/18/2013	12:23:00 AM	46.6	
105	9/18/2013	12:58:00 AM	46.6	
106	9/18/2013	1:33:00 AM	46.8	
107	9/18/2013	2:08:00 AM	46.4	
108	9/18/2013	2:43:00 AM	46.7	
109	9/18/2013	3:18:00 AM	46.6	
110	9/18/2013	3:53:00 AM	46.8	
111	9/18/2013	4:28:00 AM	46.1	
112	9/18/2013	5:03:00 AM	45.8	
113	9/18/2013	5:38:00 AM	46	
114	9/18/2013	6:13:00 AM	46	
115	9/18/2013	6:48:00 AM	45.6	
116	9/18/2013	7:23:00 AM	45.3	
117	9/18/2013	7:58:00 AM	45.1	
118	9/18/2013	8:33:00 AM	45.2	
119	9/18/2013	9:08:00 AM	45.3	
120	9/18/2013	9:43:00 AM	45.6	
121	9/18/2013	10:18:00 AM	45.8	
122	9/18/2013	10:53:00 AM	45.9	
123	9/18/2013	11:28:00 AM	46	
124	9/18/2013	12:03:00 PM	46.1	
125	9/18/2013	12:38:00 PM	46.2	
126	9/18/2013	1:13:00 PM	46.3	
127	9/18/2013	1:48:00 PM	46.4	
128	9/18/2013	2:23:00 PM	46.8	
129	9/18/2013	2:58:00 PM	46.9	
130	9/18/2013	3:33:00 PM	46.8	
131	9/18/2013	4:08:00 PM	46.8	
132	9/18/2013	4:43:00 PM	46.7	
133	9/18/2013	5:18:00 PM	46.6	
134	9/18/2013	5:53:00 PM	46.6	
135	9/18/2013	6:28:00 PM	46.5	
136	9/18/2013	7:03:00 PM	46.5	
137	9/18/2013	7:38:00 PM	46.5	
138	9/18/2013	8:13:00 PM	46.5	
139	9/18/2013	8:48:00 PM	46.5	
140	9/18/2013	9:23:00 PM	46.4	
141	9/18/2013	9:58:00 PM	46.4	
142	9/18/2013	10:33:00 PM	46.4	
143	9/18/2013	11:08:00 PM	46.3	
144	9/18/2013	11:43:00 PM	46	
145	9/19/2013	12:18:00 AM	46.1	
146	9/19/2013	12:53:00 AM	46.1	
147	9/19/2013	1:28:00 AM	46	
148	9/19/2013	2:03:00 AM	45.6	
149	9/19/2013	2:38:00 AM	45.7	
150	9/19/2013	3:13:00 AM	46	
151	9/19/2013	3:48:00 AM	45.8	
152	9/19/2013	4:23:00 AM	45.7	
153	9/19/2013	4:58:00 AM	45.4	
154	9/19/2013	5:33:00 AM	45.2	
155	9/19/2013	6:08:00 AM	45.4	
156	9/19/2013	6:43:00 AM	45	
157	9/19/2013	7:18:00 AM	44.9	
158	9/19/2013	7:53:00 AM	44.9	
159	9/19/2013	8:28:00 AM	45	
160	9/19/2013	9:03:00 AM	45.1	
161	9/19/2013	9:38:00 AM	45.2	
162	9/19/2013	10:13:00 AM	45.3	
163	9/19/2013	10:48:00 AM	45.6	
164	9/19/2013	11:23:00 AM	46	
165	9/19/2013	11:58:00 AM	46.4	
166	9/19/2013	12:33:00 PM	46.7	
167	9/19/2013	1:08:00 PM	47.1	
168	9/19/2013	1:43:00 PM	47.2	
169	9/19/2013	2:18:00 PM	48	
170	9/19/2013	2:53:00 PM	48.1	
171	9/19/2013	3:28:00 PM	47.6	
172	9/19/2013	4:03:00 PM	48	
173	9/19/2013	4:38:00 PM	48.4	
174	9/19/2013	5:13:00 PM	48.5	
175	9/19/2013	5:48:00 PM	47.8	
176	9/19/2013	6:23:00 PM	47.6	
177	9/19/2013	6:58:00 PM	47.7	
178	9/19/2013	7:33:00 PM	47.3	
179	9/19/2013	8:08:00 PM	47.4	
180	9/19/2013	8:43:00 PM	47.1	
181	9/19/2013	9:18:00 PM	47	
182	9/19/2013	9:53:00 PM	47.2	
183	9/19/2013	10:28:00 PM	47.1	
184	9/19/2013	11:03:00 PM	47.2	
185	9/19/2013	11:38:00 PM	47.3	
186	9/20/2013	12:13:00 AM	47.3	
187	9/20/2013	12:48:00 AM	47.3	
188	9/20/2013	1:23:00 AM	47.2	
189	9/20/2013	1:58:00 AM	47.1	
190	9/20/2013	2:33:00 AM	47.1	
191	9/20/2013	3:08:00 AM	47	
192	9/20/2013	3:43:00 AM	46.9	
193	9/20/2013	4:18:00 AM	46.8	
194	9/20/2013	4:53:00 AM	46.6	
195	9/20/2013	5:28:00 AM	46.5	
196	9/20/2013	6:03:00 AM	46.4	
197	9/20/2013	6:38:00 AM	46.5	
198	9/20/2013	7:13:00 AM	46.4	
199	9/20/2013	7:48:00 AM	46.1	
200	9/20/2013	8:23:00 AM	46.2	
201	9/20/2013	8:58:00 AM	46.4	
202	9/20/2013	9:33:00 AM	46.7	
203	9/20/2013	10:08:00 AM	47.1	
204	9/20/2013	10:43:00 AM	47.7	
205	9/20/2013	11:18:00 AM	48	
206	9/20/2013	11:53:00 AM	48.3	
207	9/20/2013	12:28:00 PM	48.6	
208	9/20/2013	1:03:00 PM	48.8	
209	9/20/2013	1:38:00 PM	49	
210	9/20/2013	2:13:00 PM	49	
211	9/20/2013	2:48:00 PM	49	
212	9/20/2013	3:23:00 PM	49	
213	9/20/2013	3:58:00 PM	48.9	
214	9/20/2013	4:33:00 PM	48.5	
215	9/20/2013	5:08:00 PM	48.3	
216	9/20/2013	5:43:00 PM	48.1	
217	9/20/2013	6:18:00 PM	47.8	
218	9/20/2013	6:53:00 PM	47.6	
219	9/20/2013	7:28:00 PM	47.3	
220	9/20/2013	8:03:00 PM	46.9	
221	9/20/2013	8:38:00 PM	46.6	
