Index	Date	Time	Readings (°F)	Type
1	9/29/2013	8:00:00 AM	32.4	
2	9/29/2013	8:35:00 AM	32.6	
3	9/29/2013	9:10:00 AM	33	
4	9/29/2013	9:45:00 AM	33.5	
5	9/29/2013	10:20:00 AM	34.7	
6	9/29/2013	10:55:00 AM	34.9	
7	9/29/2013	11:30:00 AM	35.1	
8	9/29/2013	12:05:00 PM	35.5	
9	9/29/2013	12:40:00 PM	36	
10	9/29/2013	1:15:00 PM	36.1	
11	9/29/2013	1:50:00 PM	36.4	
12	9/29/2013	2:25:00 PM	37	
13	9/29/2013	3:00:00 PM	37.2	
14	9/29/2013	3:35:00 PM	37.5	
15	9/29/2013	4:10:00 PM	37.5	
16	9/29/2013	4:45:00 PM	37.5	
17	9/29/2013	5:20:00 PM	37.3	
18	9/29/2013	5:55:00 PM	36.8	
19	9/29/2013	6:30:00 PM	36.1	
20	9/29/2013	7:05:00 PM	35.5	
21	9/29/2013	7:40:00 PM	35.3	
22	9/29/2013	8:15:00 PM	35.1	
23	9/29/2013	8:50:00 PM	34.8	
24	9/29/2013	9:25:00 PM	34.4	
25	9/29/2013	10:00:00 PM	34	
26	9/29/2013	10:35:00 PM	33.9	
27	9/29/2013	11:10:00 PM	33.5	
28	9/29/2013	11:45:00 PM	33.1	
29	9/30/2013	12:20:00 AM	33.1	
30	9/30/2013	12:55:00 AM	32.7	
31	9/30/2013	1:30:00 AM	32.6	
32	9/30/2013	2:05:00 AM	32.4	
33	9/30/2013	2:40:00 AM	32.4	
34	9/30/2013	3:15:00 AM	32.2	
35	9/30/2013	3:50:00 AM	31.9	
36	9/30/2013	4:25:00 AM	31.7	
37	9/30/2013	5:00:00 AM	31.9	
38	9/30/2013	5:35:00 AM	31.8	
39	9/30/2013	6:10:00 AM	31.8	
40	9/30/2013	6:45:00 AM	31.4	
41	9/30/2013	7:20:00 AM	31.7	
42	9/30/2013	7:55:00 AM	32	
43	9/30/2013	8:30:00 AM	32.6	
44	9/30/2013	9:05:00 AM	33.6	
45	9/30/2013	9:40:00 AM	34.7	
46	9/30/2013	10:15:00 AM	35.1	
47	9/30/2013	10:50:00 AM	35.2	
48	9/30/2013	11:25:00 AM	36.6	
49	9/30/2013	12:00:00 PM	37.5	
50	9/30/2013	12:35:00 PM	38.4	
51	9/30/2013	1:10:00 PM	38.7	
52	9/30/2013	1:45:00 PM	39.1	
53	9/30/2013	2:20:00 PM	39.9	
54	9/30/2013	2:55:00 PM	40.2	
55	9/30/2013	3:30:00 PM	40	
56	9/30/2013	4:05:00 PM	39.8	
57	9/30/2013	4:40:00 PM	39.2	
58	9/30/2013	5:15:00 PM	38.2	
59	9/30/2013	5:50:00 PM	37.6	
60	9/30/2013	6:25:00 PM	37	
61	9/30/2013	7:00:00 PM	36.4	
62	9/30/2013	7:35:00 PM	36.3	
63	9/30/2013	8:10:00 PM	36.2	
64	9/30/2013	8:45:00 PM	36	
65	9/30/2013	9:20:00 PM	35.7	
66	9/30/2013	9:55:00 PM	35.3	
67	9/30/2013	10:30:00 PM	35.1	
68	9/30/2013	11:05:00 PM	35	
69	9/30/2013	11:40:00 PM	34.8	
70	10/1/2013	12:15:00 AM	34.7	
71	10/1/2013	12:50:00 AM	34.7	
72	10/1/2013	1:25:00 AM	34.6	
73	10/1/2013	2:00:00 AM	34.4	
74	10/1/2013	2:35:00 AM	34.2	
75	10/1/2013	3:10:00 AM	34.1	
76	10/1/2013	3:45:00 AM	33.8	
77	10/1/2013	4:20:00 AM	33.6	
78	10/1/2013	4:55:00 AM	33.7	
