Index	Date	Time	Readings (°F)	Type
1	9/15/2013	12:00:00 PM	76.4	
2	9/15/2013	12:35:00 PM	86.3	
3	9/15/2013	1:10:00 PM	82.2	
4	9/15/2013	1:45:00 PM	73.5	
5	9/15/2013	2:20:00 PM	70.5	
6	9/15/2013	2:55:00 PM	68.9	
7	9/15/2013	3:30:00 PM	62.2	
8	9/15/2013	4:05:00 PM	59.7	
9	9/15/2013	4:40:00 PM	56.4	
10	9/15/2013	5:15:00 PM	55.8	
11	9/15/2013	5:50:00 PM	55.4	
12	9/15/2013	6:25:00 PM	54.9	
13	9/15/2013	7:00:00 PM	54.5	
14	9/15/2013	7:35:00 PM	53.9	
15	9/15/2013	8:10:00 PM	53.4	
16	9/15/2013	8:45:00 PM	52.9	
17	9/15/2013	9:20:00 PM	52.5	
18	9/15/2013	9:55:00 PM	52.2	
19	9/15/2013	10:30:00 PM	51.8	
20	9/15/2013	11:05:00 PM	51.6	
21	9/15/2013	11:40:00 PM	51.3	
22	9/16/2013	12:15:00 AM	51.1	
23	9/16/2013	12:50:00 AM	50.8	
24	9/16/2013	1:25:00 AM	50.5	
25	9/16/2013	2:00:00 AM	50.1	
26	9/16/2013	2:35:00 AM	49.9	
27	9/16/2013	3:10:00 AM	49.7	
28	9/16/2013	3:45:00 AM	49.5	
29	9/16/2013	4:20:00 AM	49.2	
30	9/16/2013	4:55:00 AM	49.1	
31	9/16/2013	5:30:00 AM	48.9	
32	9/16/2013	6:05:00 AM	48.5	
33	9/16/2013	6:40:00 AM	48.3	
34	9/16/2013	7:15:00 AM	48.2	
35	9/16/2013	7:50:00 AM	48.2	
36	9/16/2013	8:25:00 AM	48.7	
37	9/16/2013	9:00:00 AM	49.3	
38	9/16/2013	9:35:00 AM	50.1	
39	9/16/2013	10:10:00 AM	50.9	
40	9/16/2013	10:45:00 AM	51.4	
41	9/16/2013	11:20:00 AM	52.4	
42	9/16/2013	11:55:00 AM	52.8	
43	9/16/2013	12:30:00 PM	53.8	
44	9/16/2013	1:05:00 PM	54.6	
45	9/16/2013	1:40:00 PM	55.2	
46	9/16/2013	2:15:00 PM	54.5	
47	9/16/2013	2:50:00 PM	53.2	
48	9/16/2013	3:25:00 PM	53	
49	9/16/2013	4:00:00 PM	52.8	
50	9/16/2013	4:35:00 PM	52.9	
51	9/16/2013	5:10:00 PM	53.4	
52	9/16/2013	5:45:00 PM	52.9	
53	9/16/2013	6:20:00 PM	52.8	
54	9/16/2013	6:55:00 PM	52.9	
55	9/16/2013	7:30:00 PM	52.9	
56	9/16/2013	8:05:00 PM	52.9	
57	9/16/2013	8:40:00 PM	52.7	
58	9/16/2013	9:15:00 PM	52.5	
59	9/16/2013	9:50:00 PM	52.2	
60	9/16/2013	10:25:00 PM	52.2	
61	9/16/2013	11:00:00 PM	52.1	
62	9/16/2013	11:35:00 PM	51.8	
63	9/17/2013	12:10:00 AM	51.7	
64	9/17/2013	12:45:00 AM	51.6	
65	9/17/2013	1:20:00 AM	51.3	
66	9/17/2013	1:55:00 AM	51.1	
67	9/17/2013	2:30:00 AM	50.6	
68	9/17/2013	3:05:00 AM	49.9	
69	9/17/2013	3:40:00 AM	49.6	
70	9/17/2013	4:15:00 AM	48.9	
71	9/17/2013	4:50:00 AM	48.5	
